,carrera,regular,cnt_readmisiones,calidad,estado_civil,sexo,sit_laboral,tipo_residencia,modalidad_cursa,distancia_sede,actividades_u12m,edad,inactividad,avance_carrera
632,PC,N,2.0,P,1.0,2,NC,-1.0,H,-1,0,18,0,0.03571428571428571
633,PE,N,1.0,P,1.0,2,N,1.0,H,1,0,18,0,0.13333333333333333
634,PC,N,2.0,A,1.0,1,NC,-1.0,H,-1,3,21,2,0.21428571428571427
635,PC,S,2.0,A,1.0,2,NC,-1.0,H,-1,2,19,2,0.10714285714285714
636,PC,N,1.0,A,1.0,2,NC,1.0,H,-1,8,19,1,0.4642857142857143
637,PA,N,0.0,A,1.0,2,NC,-1.0,H,3,6,18,0,0.3333333333333333
638,PB,S,0.0,P,1.0,1,NC,-1.0,D,1,1,22,4,0.08
639,PB,N,2.0,P,1.0,1,NC,-1.0,D,-1,1,20,2,0.2
640,PE,S,0.0,A,1.0,2,NC,-1.0,H,-1,1,19,2,0.2
641,PA,S,2.0,A,1.0,1,NC,-1.0,H,-1,1,20,2,0.13333333333333333
642,PA,N,1.0,A,1.0,2,NC,-1.0,D,-1,7,18,0,0.4
643,PC,S,1.0,A,1.0,2,NC,-1.0,P,1,2,20,2,0.17857142857142858
644,PA,S,2.0,P,1.0,1,NC,-1.0,D,-1,1,21,2,0.16666666666666666
645,PC,S,0.0,A,1.0,2,N,4.0,H,2,6,20,1,0.5
646,PD,N,1.0,A,1.0,1,NC,-1.0,H,3,6,20,1,0.3
647,PA,N,2.0,A,1.0,1,NC,-1.0,D,-1,5,19,2,0.4
648,PA,S,1.0,A,1.0,1,NC,-1.0,H,-1,7,21,1,0.4666666666666667
649,PB,N,2.0,P,1.0,1,NC,-1.0,D,3,1,20,1,0.28
650,PC,N,2.0,A,1.0,2,NC,-1.0,H,-1,3,18,0,0.2857142857142857
651,PC,S,1.0,A,1.0,1,NC,-1.0,H,-1,3,18,0,0.25
652,PA,N,1.0,A,1.0,2,NC,2.0,D,1,5,19,2,0.4
653,PC,S,0.0,P,1.0,1,NC,-1.0,H,-1,1,20,2,0.14285714285714285
654,PC,S,1.0,P,1.0,1,NC,-1.0,H,-1,2,18,0,0.2857142857142857
655,PC,S,1.0,A,1.0,1,NC,-1.0,D,3,4,18,0,0.25
656,PC,S,1.0,A,1.0,1,NC,-1.0,H,-1,5,19,2,0.2857142857142857
657,PC,N,0.0,P,1.0,2,NC,-1.0,H,3,1,20,2,0.17857142857142858
658,PC,S,1.0,P,1.0,2,NC,1.0,D,-1,1,20,2,0.25
659,PA,S,1.0,A,1.0,1,NC,-1.0,D,-1,5,19,2,0.5
660,PA,S,0.0,A,1.0,1,NC,2.0,D,-1,5,18,0,0.3
661,PB,N,1.0,A,1.0,1,NC,-1.0,P,3,1,19,2,0.12
662,PA,S,1.0,A,1.0,2,NC,-1.0,H,-1,6,21,2,0.4666666666666667
663,PA,N,1.0,A,1.0,2,NC,-1.0,H,-1,3,21,1,0.16666666666666666
664,PB,S,0.0,A,1.0,2,NC,-1.0,D,1,2,21,1,0.2
665,PA,S,1.0,A,1.0,2,NC,-1.0,D,-1,9,18,0,0.4666666666666667
666,PA,S,2.0,P,1.0,2,S,2.0,H,1,0,20,1,0.03333333333333333
667,PA,N,2.0,P,1.0,1,NC,1.0,H,-1,0,18,0,0.13333333333333333
668,PC,S,0.0,A,1.0,1,NC,-1.0,D,-1,5,19,2,0.39285714285714285
669,PA,N,2.0,P,1.0,1,NC,-1.0,H,-1,0,21,1,0.03333333333333333
670,PA,S,1.0,A,1.0,1,NC,1.0,H,-1,9,19,2,0.4666666666666667
671,PA,N,2.0,P,1.0,1,NC,-1.0,H,-1,1,20,1,0.2
672,PA,N,1.0,A,1.0,1,NC,-1.0,H,-1,4,19,1,0.23333333333333334
673,PD,N,0.0,P,1.0,2,NC,2.0,H,1,0,21,2,0.025
674,PD,N,2.0,A,3.0,2,NC,-1.0,H,-1,2,20,2,0.125
675,PB,N,1.0,P,1.0,1,NC,-1.0,P,-1,0,18,0,0.04
676,PA,S,1.0,P,1.0,1,NC,-1.0,H,-1,0,19,1,0.0
677,PB,N,0.0,P,1.0,2,NC,-1.0,P,-1,1,18,0,0.2
678,PA,S,2.0,P,1.0,1,NC,-1.0,D,-1,0,18,0,0.1
679,PC,S,0.0,A,1.0,1,NC,-1.0,D,3,7,20,2,0.4642857142857143
680,PA,N,0.0,P,1.0,1,NC,1.0,D,2,1,18,0,0.2
681,PA,N,0.0,P,1.0,2,N,2.0,H,2,1,21,1,0.23333333333333334
682,PC,S,0.0,A,1.0,1,NC,-1.0,P,-1,7,21,1,0.5
683,PC,S,0.0,A,1.0,1,NC,-1.0,H,-1,2,21,2,0.21428571428571427
684,PA,S,0.0,P,1.0,2,NC,-1.0,H,2,0,19,2,0.13333333333333333
685,PC,S,0.0,A,1.0,2,NC,-1.0,D,-1,5,21,1,0.2857142857142857
686,PC,N,0.0,P,1.0,2,N,1.0,P,2,1,18,0,0.17857142857142858
687,PC,S,1.0,P,1.0,2,NC,-1.0,H,-1,0,19,2,0.03571428571428571
688,PB,S,2.0,A,1.0,2,NC,-1.0,P,-1,4,20,2,0.28
689,PC,S,0.0,A,1.0,1,NC,-1.0,H,-1,1,21,2,0.14285714285714285
690,PA,N,0.0,P,1.0,2,NC,-1.0,H,-1,0,21,2,0.16666666666666666
691,PA,S,1.0,P,1.0,2,N,2.0,P,1,0,21,1,0.0
692,PC,S,1.0,A,1.0,2,NC,1.0,P,1,7,18,0,0.4642857142857143
693,PC,N,1.0,P,1.0,1,NC,-1.0,D,1,1,19,2,0.10714285714285714
694,PA,N,0.0,P,1.0,1,N,2.0,D,2,2,21,1,0.3
695,PA,N,0.0,P,1.0,2,NC,-1.0,P,-1,0,20,2,0.16666666666666666
696,PA,N,2.0,P,1.0,1,NC,-1.0,D,-1,0,21,1,0.06666666666666667
697,PB,S,0.0,P,1.0,1,NC,1.0,D,2,1,19,2,0.28
698,PB,S,2.0,P,1.0,2,NC,-1.0,P,2,1,21,1,0.24
699,PA,S,2.0,P,1.0,2,NC,-1.0,D,-1,1,18,0,0.23333333333333334
700,PA,S,1.0,A,1.0,1,NC,-1.0,D,-1,3,21,2,0.26666666666666666
701,PA,S,1.0,P,1.0,1,NC,-1.0,P,-1,1,20,1,0.16666666666666666
702,PA,S,1.0,P,1.0,2,NC,-1.0,P,-1,0,18,0,0.06666666666666667
703,PC,S,1.0,A,1.0,1,NC,3.0,P,2,3,21,1,0.25
704,PA,N,2.0,P,1.0,2,NC,-1.0,P,-1,0,21,1,0.06666666666666667
705,PA,S,0.0,A,1.0,1,NC,-1.0,D,-1,2,19,2,0.23333333333333334
706,PA,S,2.0,A,1.0,1,NC,1.0,D,-1,6,18,0,0.43333333333333335
707,PB,N,1.0,P,1.0,2,NC,1.0,P,-1,0,19,1,0.08
708,PA,N,0.0,A,1.0,1,NC,-1.0,P,-1,5,19,1,0.4666666666666667
709,PA,N,1.0,P,1.0,1,N,1.0,D,2,0,18,0,0.0
710,PC,N,1.0,P,1.0,1,NC,2.0,D,2,1,19,1,0.17857142857142858
711,PB,S,0.0,P,1.0,2,NC,-1.0,H,-1,0,21,2,0.16
712,PB,N,2.0,P,1.0,1,N,1.0,H,2,2,20,1,0.28
713,PB,N,1.0,P,1.0,1,NC,-1.0,D,1,0,20,2,0.04
714,PA,S,2.0,P,1.0,2,N,2.0,P,2,0,20,2,0.13333333333333333
715,PE,N,1.0,P,1.0,2,NC,1.0,H,-1,0,21,1,0.0
716,PE,N,1.0,P,1.0,1,NC,-1.0,H,-1,0,20,1,0.2
717,PA,N,2.0,P,1.0,2,NC,-1.0,H,-1,0,21,1,0.06666666666666667
718,PA,S,1.0,A,1.0,2,NC,1.0,D,-1,5,21,2,0.36666666666666664
719,PA,S,1.0,A,1.0,1,NC,-1.0,H,1,7,21,1,0.4666666666666667
720,PE,S,1.0,A,1.0,2,NC,-1.0,H,-1,2,20,1,0.3333333333333333
721,PE,S,1.0,P,1.0,2,NC,1.0,D,1,0,21,1,0.13333333333333333
722,PE,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,21,1,0.26666666666666666
723,PE,S,1.0,P,1.0,2,NC,-1.0,H,-1,1,20,2,0.26666666666666666
724,PE,N,1.0,A,1.0,1,NC,1.0,P,2,2,21,1,0.26666666666666666
725,PC,N,1.0,P,1.0,1,NC,-1.0,H,-1,1,19,1,0.2857142857142857
726,PA,S,0.0,A,1.0,2,NC,2.0,D,1,5,19,1,0.3333333333333333
727,PA,S,1.0,P,1.0,2,NC,1.0,D,1,1,21,2,0.23333333333333334
728,PA,S,1.0,A,1.0,2,NC,-1.0,P,-1,5,21,2,0.36666666666666664
729,PA,S,1.0,A,1.0,1,NC,1.0,P,2,7,20,1,0.4666666666666667
730,PA,S,1.0,P,1.0,2,NC,-1.0,P,1,0,18,0,0.16666666666666666
731,PA,S,1.0,P,3.0,1,NC,1.0,H,3,0,21,1,0.06666666666666667
732,PC,S,2.0,A,1.0,1,NC,-1.0,D,2,4,19,2,0.35714285714285715
733,PC,S,2.0,P,1.0,2,N,1.0,D,2,1,20,2,0.14285714285714285
734,PC,S,1.0,A,1.0,1,NC,-1.0,P,-1,8,21,2,0.4642857142857143
735,PA,S,1.0,A,1.0,1,NC,-1.0,D,2,4,20,2,0.3333333333333333
736,PC,N,2.0,P,1.0,2,NC,2.0,H,2,0,18,0,0.07142857142857142
737,PC,S,2.0,P,1.0,2,NC,1.0,D,-1,1,20,2,0.21428571428571427
738,PA,S,2.0,A,1.0,2,NC,-1.0,P,-1,5,19,1,0.3
739,PA,S,0.0,P,1.0,1,NC,4.0,H,3,0,20,2,0.26666666666666666
740,PD,S,2.0,A,1.0,2,NC,-1.0,H,3,5,21,1,0.2
741,PA,S,0.0,A,1.0,1,NC,-1.0,P,-1,3,21,1,0.2
742,PC,S,0.0,A,1.0,1,NC,-1.0,P,-1,7,18,0,0.5
743,PA,N,2.0,P,1.0,2,NC,-1.0,P,-1,1,19,2,0.06666666666666667
744,PB,S,0.0,A,1.0,1,NC,1.0,P,-1,6,21,2,0.4
745,PB,S,1.0,A,1.0,1,NC,1.0,H,-1,1,20,2,0.12
746,PA,N,0.0,A,1.0,1,NC,-1.0,D,-1,1,21,1,0.1
747,PE,S,0.0,A,1.0,2,NC,-1.0,H,1,3,21,1,0.4
748,PC,N,1.0,A,1.0,1,NC,-1.0,P,-1,1,20,1,0.14285714285714285
749,PC,S,1.0,P,1.0,1,NC,1.0,P,-1,0,21,2,0.03571428571428571
750,PA,S,2.0,P,1.0,1,NC,-1.0,P,-1,1,19,2,0.2
751,PC,N,0.0,P,1.0,2,NC,1.0,P,1,0,20,2,0.14285714285714285
752,PA,N,2.0,P,1.0,2,NC,-1.0,H,-1,0,21,2,0.0
753,PA,N,2.0,A,1.0,2,NC,1.0,D,2,5,21,1,0.43333333333333335
754,PA,S,0.0,P,1.0,2,NC,-1.0,H,3,3,19,2,0.3
755,PC,N,2.0,P,1.0,1,NC,2.0,H,-1,1,18,0,0.2857142857142857
756,PA,S,1.0,A,1.0,1,NC,-1.0,H,-1,3,19,1,0.26666666666666666
757,PA,S,0.0,A,1.0,2,NC,2.0,D,1,2,20,2,0.16666666666666666
758,PC,N,1.0,A,1.0,1,NC,1.0,D,1,2,20,2,0.21428571428571427
759,PC,S,1.0,P,1.0,1,NC,1.0,D,1,0,21,2,0.10714285714285714
760,PC,N,1.0,A,1.0,1,NC,-1.0,P,-1,5,20,1,0.2857142857142857
761,PA,N,1.0,P,1.0,2,NC,1.0,H,2,0,20,2,0.1
762,PA,N,1.0,A,1.0,2,NC,1.0,H,2,6,21,1,0.3333333333333333
763,PA,S,2.0,A,1.0,2,NC,-1.0,D,-1,4,20,1,0.3
764,PB,S,1.0,P,1.0,2,NC,1.0,D,2,0,19,2,0.16
765,PC,S,2.0,P,1.0,2,NC,2.0,P,2,1,19,1,0.14285714285714285
766,PB,N,2.0,A,1.0,1,NC,-1.0,P,-1,3,20,2,0.24
767,PB,N,0.0,P,1.0,1,NC,-1.0,D,-1,0,18,0,0.12
768,PC,N,0.0,P,1.0,2,NC,-1.0,H,2,0,18,0,0.14285714285714285
769,PB,N,1.0,A,1.0,1,N,1.0,D,2,4,19,1,0.4
770,PA,S,2.0,P,1.0,2,NC,-1.0,D,-1,1,18,0,0.16666666666666666
771,PA,N,0.0,A,1.0,1,NC,1.0,P,2,2,18,0,0.1
772,PA,S,0.0,P,1.0,2,NC,2.0,D,3,1,19,2,0.2
773,PB,S,0.0,A,1.0,1,NC,1.0,D,-1,4,20,2,0.28
774,PC,N,0.0,A,1.0,1,NC,2.0,P,1,3,18,0,0.2857142857142857
775,PA,N,2.0,P,1.0,2,NC,-1.0,H,-1,0,18,0,0.16666666666666666
776,PE,S,1.0,A,1.0,1,NC,-1.0,H,-1,4,19,1,0.4666666666666667
777,PA,N,1.0,P,1.0,2,NC,-1.0,P,-1,0,20,1,0.06666666666666667
778,PA,N,1.0,P,1.0,2,NC,-1.0,D,1,1,18,0,0.23333333333333334
779,PA,N,2.0,P,1.0,1,NC,-1.0,P,-1,0,21,1,0.13333333333333333
780,PC,N,2.0,A,1.0,2,NC,-1.0,H,-1,7,21,2,0.4642857142857143
781,PB,N,2.0,P,1.0,1,NC,1.0,H,1,1,20,1,0.2
782,PC,S,2.0,P,1.0,1,NC,2.0,D,1,1,21,1,0.2857142857142857
783,PB,S,2.0,A,1.0,1,NC,-1.0,H,1,5,19,2,0.36
784,PE,N,1.0,A,1.0,1,NC,-1.0,H,-1,2,21,2,0.4
785,PA,N,1.0,P,1.0,2,NC,1.0,P,1,0,19,2,0.03333333333333333
786,PA,S,2.0,A,1.0,1,NC,1.0,D,2,7,21,1,0.4
787,PA,S,1.0,A,1.0,1,NC,-1.0,H,-1,4,21,1,0.23333333333333334
788,PC,N,0.0,P,1.0,2,NC,1.0,P,1,0,19,1,0.10714285714285714
789,PA,S,1.0,P,1.0,2,NC,-1.0,H,-1,1,20,1,0.2
790,PA,N,0.0,P,1.0,2,NC,1.0,D,2,1,21,1,0.16666666666666666
791,PC,N,2.0,P,1.0,1,NC,-1.0,H,-1,0,18,0,0.25
792,PA,S,2.0,P,1.0,2,NC,4.0,H,-1,0,20,2,0.0
793,PA,N,1.0,P,1.0,2,NC,-1.0,D,2,0,18,0,0.06666666666666667
794,PA,S,2.0,P,1.0,2,NC,1.0,P,2,2,21,1,0.23333333333333334
795,PA,N,2.0,P,1.0,2,NC,-1.0,P,-1,0,19,2,0.06666666666666667
796,PA,S,0.0,A,1.0,2,NC,1.0,D,2,7,20,1,0.4666666666666667
797,PA,S,1.0,A,1.0,1,NC,-1.0,P,3,2,18,0,0.16666666666666666
798,PC,S,1.0,P,1.0,1,NC,1.0,D,1,0,18,0,0.10714285714285714
799,PB,N,2.0,A,1.0,1,NC,1.0,D,1,3,19,2,0.32
800,PB,N,1.0,P,1.0,1,NC,2.0,D,1,1,21,2,0.24
801,PB,N,1.0,P,1.0,2,NC,1.0,P,2,0,19,1,0.16
802,PA,S,1.0,P,1.0,1,NC,1.0,D,2,1,18,0,0.13333333333333333
803,PA,S,1.0,A,1.0,2,NC,-1.0,P,-1,2,21,1,0.13333333333333333
804,PB,S,2.0,A,1.0,2,NC,-1.0,P,-1,5,20,1,0.44
805,PA,N,1.0,A,1.0,2,NC,1.0,D,1,8,20,1,0.43333333333333335
806,PA,N,0.0,P,1.0,1,NC,1.0,P,3,0,21,1,0.26666666666666666
807,PA,S,2.0,P,1.0,2,NC,-1.0,D,-1,1,19,1,0.23333333333333334
808,PA,S,0.0,A,1.0,2,NC,-1.0,H,-1,3,19,2,0.26666666666666666
809,PA,S,0.0,A,1.0,1,NC,-1.0,H,-1,2,19,1,0.16666666666666666
810,PA,S,2.0,A,1.0,2,NC,-1.0,H,-1,8,18,0,0.4
811,PA,N,0.0,P,1.0,2,NC,1.0,P,2,0,19,2,0.03333333333333333
812,PA,N,1.0,P,1.0,2,NC,2.0,H,1,0,21,1,0.06666666666666667
813,PC,S,2.0,P,1.0,2,NC,-1.0,H,-1,2,19,2,0.25
814,PA,N,1.0,A,1.0,1,NC,1.0,H,1,5,19,2,0.3333333333333333
815,PA,N,1.0,P,1.0,2,NC,-1.0,D,-1,0,20,1,0.0
816,PB,N,1.0,A,1.0,2,NC,-1.0,D,2,6,19,1,0.48
817,PE,N,1.0,P,1.0,1,NC,2.0,D,1,1,20,2,0.26666666666666666
818,PA,N,0.0,A,1.0,1,NC,1.0,H,1,3,19,2,0.26666666666666666
819,PE,S,2.0,A,1.0,2,NC,-1.0,D,-1,3,18,0,0.4666666666666667
820,PA,S,1.0,P,1.0,2,NC,-1.0,P,2,1,21,1,0.1
821,PE,N,2.0,P,1.0,1,NC,-1.0,H,2,1,19,1,0.2
822,PA,S,1.0,A,1.0,1,NC,-1.0,H,3,3,21,1,0.26666666666666666
823,PA,N,0.0,P,1.0,2,NC,1.0,H,-1,0,21,2,0.03333333333333333
824,PA,N,1.0,P,1.0,2,NC,1.0,P,2,0,18,0,0.13333333333333333
825,PB,S,1.0,P,1.0,2,NC,2.0,P,2,1,21,1,0.24
826,PA,N,1.0,A,1.0,2,NC,-1.0,H,-1,6,21,1,0.43333333333333335
827,PA,N,0.0,A,1.0,2,NC,-1.0,H,2,4,21,2,0.3333333333333333
828,PA,S,2.0,A,1.0,2,NC,2.0,P,-1,2,18,0,0.2
829,PA,S,2.0,A,1.0,2,NC,-1.0,H,-1,2,18,0,0.13333333333333333
830,PB,N,1.0,P,1.0,1,NC,1.0,H,2,1,18,0,0.28
831,PE,N,0.0,P,1.0,2,NC,-1.0,P,-1,0,18,0,0.26666666666666666
832,PA,N,0.0,P,1.0,2,S,1.0,D,2,0,18,0,0.0
833,PC,S,1.0,A,1.0,2,NC,-1.0,D,-1,5,19,2,0.39285714285714285
834,PE,S,2.0,A,1.0,2,NC,-1.0,H,-1,1,20,2,0.13333333333333333
835,PC,S,1.0,A,1.0,2,NC,-1.0,P,-1,4,19,2,0.32142857142857145
836,PA,S,0.0,A,1.0,2,NC,-1.0,P,-1,6,19,2,0.3333333333333333
837,PB,S,2.0,A,1.0,2,NC,1.0,P,2,7,20,1,0.4
838,PA,N,2.0,P,3.0,1,NC,-1.0,H,3,1,21,1,0.13333333333333333
839,PC,N,1.0,A,1.0,2,NC,-1.0,P,3,1,21,2,0.14285714285714285
840,PC,N,2.0,P,1.0,2,NC,-1.0,H,-1,1,19,2,0.17857142857142858
841,PC,S,1.0,A,1.0,1,NC,-1.0,H,1,3,20,2,0.25
842,PE,N,2.0,P,1.0,1,NC,1.0,D,-1,1,18,0,0.26666666666666666
843,PE,N,1.0,A,1.0,2,NC,-1.0,P,-1,2,21,2,0.26666666666666666
844,PC,N,2.0,P,1.0,1,NC,-1.0,D,-1,0,20,2,0.0
845,PA,S,2.0,A,1.0,2,NC,1.0,D,2,7,20,1,0.5
846,PA,S,1.0,A,1.0,1,NC,-1.0,H,-1,6,19,2,0.4
847,PE,N,1.0,A,1.0,1,NC,4.0,D,2,1,20,2,0.13333333333333333
848,PE,N,2.0,P,1.0,2,N,1.0,P,2,1,18,0,0.2
849,PC,S,0.0,P,1.0,1,NC,2.0,D,2,1,20,1,0.25
850,PA,N,1.0,P,1.0,2,NC,4.0,H,-1,0,18,0,0.13333333333333333
851,PA,S,0.0,P,1.0,1,NC,-1.0,D,3,1,19,1,0.23333333333333334
852,PB,S,2.0,A,1.0,1,NC,2.0,P,2,6,21,1,0.48
853,PC,N,0.0,P,1.0,2,NC,-1.0,H,-1,1,20,1,0.25
854,PC,N,2.0,A,1.0,2,NC,1.0,D,1,2,18,0,0.10714285714285714
855,PC,N,1.0,P,1.0,2,NC,-1.0,H,-1,2,18,0,0.25
856,PB,N,1.0,P,1.0,1,NC,-1.0,H,-1,0,19,1,0.08
857,PC,S,2.0,A,1.0,2,NC,3.0,P,3,3,18,0,0.14285714285714285
858,PA,S,1.0,A,1.0,1,NC,4.0,H,1,6,19,2,0.4666666666666667
859,PC,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,21,1,0.17857142857142858
860,PA,S,0.0,P,1.0,1,NC,1.0,D,2,2,20,1,0.26666666666666666
861,PB,N,2.0,P,1.0,1,NC,-1.0,P,1,4,20,2,0.52
862,PA,S,0.0,A,1.0,2,NC,2.0,H,1,8,20,1,0.5
863,PC,S,1.0,P,1.0,1,NC,3.0,D,2,1,20,2,0.21428571428571427
864,PA,S,1.0,P,1.0,2,NC,2.0,D,2,0,18,0,0.16666666666666666
865,PC,S,1.0,A,1.0,1,NC,-1.0,D,-1,4,20,2,0.21428571428571427
866,PC,S,1.0,A,1.0,1,NC,-1.0,P,-1,8,21,1,0.4642857142857143
867,PA,S,2.0,P,1.0,2,N,4.0,P,2,1,19,2,0.16666666666666666
868,PC,S,0.0,A,1.0,2,NC,-1.0,P,-1,3,19,2,0.17857142857142858
869,PA,S,1.0,A,1.0,2,N,4.0,D,2,4,19,2,0.3
870,PC,S,1.0,A,1.0,1,NC,-1.0,H,-1,4,20,1,0.2857142857142857
871,PB,S,2.0,A,1.0,2,NC,-1.0,H,-1,2,21,1,0.24
872,PC,N,0.0,P,1.0,2,NC,-1.0,D,-1,1,20,2,0.2857142857142857
873,PA,N,1.0,P,1.0,2,NC,-1.0,P,-1,0,20,2,0.06666666666666667
874,PC,S,0.0,A,1.0,2,NC,-1.0,P,-1,6,20,2,0.35714285714285715
875,PE,N,1.0,A,1.0,1,N,1.0,H,-1,1,18,0,0.2
876,PA,N,1.0,A,1.0,2,NC,-1.0,D,-1,5,18,0,0.5
877,PA,N,0.0,A,1.0,2,NC,-1.0,P,-1,3,20,1,0.16666666666666666
878,PA,N,2.0,A,1.0,1,NC,-1.0,P,-1,6,21,2,0.43333333333333335
879,PA,N,1.0,P,3.0,2,NC,1.0,H,2,2,20,1,0.26666666666666666
880,PB,S,0.0,A,1.0,1,NC,1.0,D,1,2,21,2,0.12
881,PA,N,1.0,P,1.0,1,NC,2.0,D,1,0,20,1,0.26666666666666666
882,PA,N,0.0,P,1.0,2,NC,-1.0,D,-1,0,18,0,0.06666666666666667
883,PB,S,1.0,A,1.0,1,NC,1.0,P,1,4,18,0,0.36
884,PE,N,1.0,P,1.0,2,NC,-1.0,P,-1,1,21,1,0.2
885,PA,N,0.0,A,1.0,2,NC,-1.0,P,-1,2,21,1,0.2
886,PA,S,2.0,P,1.0,2,NC,-1.0,H,-1,2,20,1,0.23333333333333334
887,PA,N,2.0,A,1.0,2,NC,1.0,D,1,6,18,0,0.36666666666666664
888,PA,S,1.0,P,1.0,2,NC,1.0,H,2,0,19,2,0.13333333333333333
889,PE,S,2.0,P,1.0,2,NC,1.0,P,-1,0,18,0,0.2
890,PA,S,2.0,A,1.0,2,S,1.0,D,1,4,18,0,0.4
891,PC,N,1.0,A,1.0,2,NC,-1.0,H,-1,2,18,0,0.25
892,PA,N,1.0,P,1.0,1,NC,2.0,P,1,0,20,2,0.2
893,PE,S,0.0,A,1.0,2,NC,-1.0,D,-1,1,18,0,0.26666666666666666
894,PC,S,1.0,P,1.0,1,NC,2.0,H,1,1,21,2,0.17857142857142858
895,PA,N,0.0,P,1.0,2,NC,2.0,D,1,1,18,0,0.13333333333333333
896,PA,S,1.0,A,1.0,2,NC,1.0,D,1,3,19,2,0.2
897,PA,N,0.0,A,1.0,2,NC,-1.0,D,-1,8,18,0,0.4666666666666667
898,PA,S,2.0,A,1.0,1,NC,1.0,P,2,3,21,1,0.3
899,PE,S,2.0,A,1.0,1,NC,1.0,P,2,2,19,1,0.3333333333333333
900,PC,N,1.0,A,1.0,2,NC,1.0,P,2,5,20,2,0.35714285714285715
901,PA,S,1.0,A,1.0,2,NC,4.0,P,1,3,19,2,0.16666666666666666
902,PC,N,0.0,P,1.0,1,NC,-1.0,P,-1,1,19,1,0.17857142857142858
903,PA,N,2.0,A,1.0,1,NC,-1.0,D,-1,6,18,0,0.36666666666666664
904,PA,N,0.0,A,1.0,2,NC,2.0,D,3,7,20,1,0.4666666666666667
905,PA,N,0.0,P,1.0,2,NC,1.0,D,-1,0,18,0,0.16666666666666666
906,PA,S,1.0,P,1.0,2,NC,1.0,D,2,1,21,1,0.26666666666666666
907,PA,S,1.0,P,1.0,2,NC,2.0,H,2,1,20,2,0.3
908,PA,N,1.0,P,1.0,1,NC,4.0,P,1,0,21,2,0.1
909,PE,N,2.0,P,1.0,2,NC,-1.0,D,-1,1,18,0,0.2
910,PA,S,0.0,A,1.0,2,NC,-1.0,D,-1,3,20,1,0.26666666666666666
911,PE,S,0.0,A,1.0,1,NC,1.0,D,-1,1,18,0,0.2
912,PB,N,0.0,A,1.0,2,NC,2.0,D,2,5,20,1,0.36
913,PA,N,0.0,A,1.0,2,NC,4.0,P,1,4,19,1,0.3333333333333333
914,PD,S,0.0,A,1.0,1,NC,2.0,P,2,11,21,2,0.45
915,PA,N,2.0,P,1.0,2,NC,1.0,D,2,1,18,0,0.1
916,PA,N,1.0,P,1.0,2,NC,-1.0,H,-1,1,20,2,0.26666666666666666
917,PA,N,1.0,P,1.0,2,NC,-1.0,P,-1,2,18,0,0.23333333333333334
918,PA,S,1.0,A,1.0,1,NC,2.0,H,1,1,19,1,0.13333333333333333
919,PA,N,1.0,A,1.0,2,NC,1.0,H,-1,6,21,1,0.4666666666666667
920,PA,S,1.0,A,1.0,2,NC,1.0,P,2,4,19,1,0.4
921,PA,N,1.0,A,1.0,1,NC,2.0,P,1,7,20,2,0.43333333333333335
922,PA,S,1.0,A,1.0,1,NC,-1.0,H,-1,2,18,0,0.16666666666666666
923,PE,S,1.0,A,1.0,1,NC,-1.0,H,-1,2,19,2,0.26666666666666666
924,PC,N,0.0,P,1.0,1,NC,3.0,P,3,2,20,1,0.2857142857142857
925,PC,S,2.0,A,1.0,1,NC,-1.0,H,-1,5,21,1,0.39285714285714285
926,PA,S,0.0,A,1.0,2,NC,3.0,P,1,2,18,0,0.16666666666666666
927,PE,N,2.0,P,1.0,2,NC,-1.0,D,-1,0,20,1,0.13333333333333333
928,PC,S,2.0,A,1.0,1,NC,-1.0,H,-1,2,21,1,0.14285714285714285
929,PA,S,0.0,A,1.0,2,NC,1.0,P,-1,3,21,1,0.16666666666666666
930,PB,N,1.0,A,1.0,2,NC,-1.0,H,-1,6,19,1,0.52
931,PA,S,2.0,A,1.0,1,NC,-1.0,H,-1,7,19,2,0.36666666666666664
932,PA,N,1.0,A,1.0,1,NC,-1.0,H,-1,7,18,0,0.36666666666666664
933,PC,S,1.0,A,1.0,2,NC,1.0,H,3,6,19,1,0.4642857142857143
934,PA,S,2.0,A,1.0,2,NC,1.0,H,1,2,18,0,0.16666666666666666
935,PA,N,0.0,P,1.0,1,NC,4.0,H,1,0,21,1,0.03333333333333333
936,PA,S,1.0,P,1.0,2,NC,-1.0,H,-1,0,19,2,0.06666666666666667
937,PA,S,1.0,A,1.0,2,NC,-1.0,D,3,3,19,2,0.3
938,PA,N,1.0,P,2.0,1,NC,1.0,H,1,1,19,2,0.26666666666666666
939,PA,N,0.0,A,1.0,1,NC,1.0,P,3,4,18,0,0.2
940,PC,S,1.0,A,1.0,1,NC,1.0,P,3,3,21,2,0.17857142857142858
941,PA,S,0.0,A,1.0,1,NC,-1.0,H,-1,3,19,2,0.16666666666666666
942,PA,S,2.0,A,1.0,1,NC,-1.0,D,-1,6,20,2,0.5
943,PA,N,1.0,A,1.0,2,NC,-1.0,D,-1,2,21,1,0.16666666666666666
944,PA,S,2.0,A,1.0,2,NC,1.0,H,2,6,19,1,0.3
945,PA,S,1.0,A,1.0,2,NC,3.0,P,-1,6,21,2,0.3
946,PA,S,2.0,P,1.0,1,NC,1.0,H,1,0,20,1,0.13333333333333333
